Usher	There Goes My Baby
The Rolling Stones	Going Home
Elvis Presley	Blue Christmas 
Brooks & Dunn	Blue Christmas
Randy Travis	Pretty Paper
Slayer	Warzone
Meat Loaf	Hot Patootie-Bless My Soul
The Prodigy	Girls
Susan Boyle	Silent Night
Vince Gill	Blue Christmas
Ricky Van Shelton	Blue Christmas
Clay Walker	Blue Christmas
Mick Hucknall	Ain't That Lovin' You
Luther Vandross	Got You Home
Marques Houston	Favorite Girl
Boney James	Love Song 
Blonde Redhead	Love Or Prison
Goldfrapp	Little Bird
Smashing Pumpkins	Soma
Moby	Nearer
Cheap Trick	Auf Wiedersehen
Blonde Redhead	Here Sometimes
Zero 7	Ghost Symbol
Nirvana	Frances Farmer Will Have Her Revenge On Seattle
Nouvelle Vague	Making Plans For Nigel
The Cure	Prayers For Rain
Band Of Horses	The Funeral
Barcelona	Colors
Joan Sebastian	Oyeme Chatita
Vicente Fernandez	Si Te Vas No Hay Lio
The Mamas & The Papas	Words Of Love
Armored Saint	Reign Of Fire
Billie Holiday	Am I Blue?
Solomon Burke	None Of Us Are Free
The Little Willies	Night Life
Madeleine Peyroux	Careless Love
Ella Fitzgerald	Solitude 
Heart	How Can I Refuse
Cat Stevens	Sad Lisa
Rush	Cold Fire
The Mighty Mighty Bosstones	So Sad To Say
Wire	Feeling Called Love
Lykke Li	My Love
The Beatles	Her Majesty
Jose Feliciano	La Copa Rota
The Beach Boys	Surfer Girl
Billie Holiday	I Hear Music
Aretha Franklin	Baby I Love You
Kool & The Gang	Victory
Willie Nelson & Wynton Marsalis	Night Life
J Dilla	Two Can Win
George Harrison	You
Kem	When I'm Loving You
Natalie Merchant	Crying, My Little One
All-4-One	So Much In Love
Lacy J. Dalton	Takin' It Easy
Beach House	Gila
Jenny And Johnny	While Men Are Dreaming
Royksopp	It's What I Want
OK Go	All Is Not Lost
Rogue Wave	Endless Shovel
Daft Punk	Steam Machine
Clap Your Hands Say Yeah	Is This Love?
The Clash	Hate And War
Bauhaus	The Passion Of Lovers
Huey Lewis And The News	Respect Yourself
Ted Leo & The Pharmacists	Army Bound
Cat Power	He War
Jack Jones	Love Boat Theme
The Kinks	Set Me Free
Antony & The Johnsons	Shake That Devil
Foxy Shazam	Unstoppable
The Pixies	La La Love You
The Breeders	Do You Love Me Now?
Mark Ronson	Just 
Chris Knight	A Pretty Good Guy
Daft Punk	Revolution 909
Broadcast	Tender Buttons
Ted Leo & The Pharmacists	The Ballad Of The Sin Father
Axwell	Nothing But Love 
Twisted Sister	Burn In Hell
Exodus	The Toxic Waltz
The Red Hot Chili Peppers	Fire
Dum Dum Girls	I Will Be
Bowerbirds	House Of Diamonds
Bullet For My Valentine	Alone
TKA	Louder Than Love
Tom Jones	Without Love 
Frankie Ruiz	La Rueda
Musiq	Girl Next Door 
Devo	Race Of Doom
The Red Hot Chili Peppers	Fight Like A Brave
Living Colour	Glamour Boys
Norah Jones	The Long Way Home
The J. Geils Band	Looking For A Love
Blood Brothers	Set Fire To The Face On Fire
Times Of Grace	Fight For Life
Pantera	Floods
Chet Baker	Let's Get Lost
Sarah Vaughan	Little Girl Blue
Coco Montoya	Love Gotcha
Sepultura	Territory
Feist	The Limit To Your Love
Kem	Into You
Axe Bahia	Beso En La Boca
The Vaselines	Molly's Lips
Dinah Washington	Blue Skies
Jill Scott	Bedda At Home
Mitty Collier	Sharing You
Evile	Armoured Assault
The Brian Jonestown Massacre	Sailor
Caribou	Sun
Dean Martin	Send Me The Pillow You Dream On
Abysmal Dawn	The Descent
The Five Keys	Close Your Eyes
Ella Fitzgerald	Rocks In My Bed
The Cure	The End of The World
The Ramones	Surfin' Bird
Bloc Party	Banquet
The Kooks	If Only
The White Tie Affair	Candle 
Keane	This Is The Last Time
Smashing Pumpkins	I Am One
Bif Naked	Lucky
Visions Of Atlantis	Twist Of Fate
Wilco	War On War
Jenny Lewis	Pretty Bird
Visions Of Atlantis	Conquest Of Others
Steel Train	Firecracker
Cavalera Conspiracy	Blunt Force Trauma
Mastodon	Iron Tusk
Luis Enrique	San Juan Sin Ti
Alejandra Guzman	Hacer El Amor Con Otro
Neil Diamond	Kentucky Woman
Tinariwen	Matadjem Yinmixan
Charles Bradley	Heart Of Gold 
Joan Armatrading	Love And Affection
Blood Brothers	Love Rhymes With Hideous Car Wreck
Miike Snow	Burial
Alice Russell	Hurry On Now
Dixie Chicks	I Can Love You Better
Darryl Worley	Family Tree
Chris Ledoux	Hooked On An 8 Second Ride
The Brian Jonestown Massacre	Wisdom
Brooks & Dunn	We'll Burn That Bridge
The Ting Tings	That's Not My Name
John Gold	Baby It's Your Life
Richie Havens	Here Comes The Sun
Sophie Milman	I'm On Fire
Metallica	Seek &#x26; Destroy
Radiohead	Nude
Crocodiles	All My Hate And My Hexes Are For You
Austra	Spellwork
The Suburbs	Love Is The Law
The Kinks	Everybody's Gonna Be Happy
VHS Or Beta	Love In My Pocket
The Flaming Lips	Sagittarius Silver Announcement
Lee Andrews & The Hearts	Long Lonely Nights
Kraftwerk	Neon Lights
The Grateful Dead	Till The Morning Comes
Caribou	Sun
Timi Yuro	Hurt
Eric Benet	Hurricane
David Rock Feinstein	Metal Will Never Die 
Byron Cage	Glory To Your Name
Martha & The Vandellas	I'm Ready For Love
No Age	Things I Did When I Was Dead
The Raveonettes	Evil Seeds
Atreyu	Lonely
Finger Eleven	Stay In Shadow
Lacuna Coil	I Won't Tell You
Serj Tankian	Sky Is Over
Buckcherry	Broken Glass
Joss Stone	Bruised But Not Broken
Janet Jackson	Because Of Love
Framing Hanley	You Stupid Girl
Los Primos De Durango	Se Me Antoja Tu Piel
Alexander O'Neal	Innocent
Raheem DeVaughn	Nobody Wins A War 
Prince	Sexy Dancer
Ledisi	Love Never Changes
Unwritten Law	Save Me
Gwar	A Gathering Of Ghouls
BarlowGirl	Stay With Me
British Sea Power	Oh Larsen B
Neil Young	Angry World
Sneaker Pimps	Bloodsport
Yeah Yeah Yeahs	Dull Life
Chalino Sanchez	Corazoncito Tirano
J Dilla	U-Love
Wavves	Super Soaker
Film School	Sunny Day
Belle & Sebastian	The Ghost Of Rockschool
M. Ward	Blake's View
Hannah Montana	Gonna Get This 
Joyce Sims	All And All
Skillet	Live Free Or Let Me Die
The Smithereens	Too Much Passion
Bobby Womack	Lookin' For A Love
Vanessa Williams	Lazy Afternoon
Harry Connick, Jr.	Just Kiss Me
Jonathan Nelson	How Great Is Our God 
Buddy Guy	I Smell Trouble
The Prodigy	One Love
The Vaselines	You Think You're A Man
Mishka	Above The Bones
Azure Ray	The Drinks We Drank Last Night
The Flaming Lips	The Sparrow Looks Up At The Machine
Tommy Dorsey & His Orchestra	I'll Never Smile Again
Louis Armstrong	We Have All The Time In The World
Alkaline Trio	Time To Waste
Marc Anthony	Hasta Que Vuelvas Conmigo 
The Carpenters	Ticket To Ride
Jazmine Sullivan	After The Hurricane
Beres Hammond	Try If You Want
Alaine	Heavenly
John Pizzarelli	Happy Talk
Ray Charles	Somewhere Over The Rainbow 
U2	Pride 
Guns N' Roses	Paradise City 
Skeeter Davis	I Can't Stay Mad At You
Cascada	Miracle
Teddy Pendergrass	Easy, Easy, Got To Take It Easy
Armin Van Buuren	In And Out Of Love
Glen Campbell	Dream Baby 
Disturbed	Believe
Los Traileros Del Norte	Anoche Estuve Llorando
Queen Latifah	Weekend Love
The Beatles	I'm Happy Just To Dance With You
Midlake	Head Home
Joan Sebastian	Amor Limosnero
The Kills	Getting Down
Slayer	Necrophobic
Tame Impala	The Bold Arrow Of Time
Buke And Gass	Naked Cities
We Are Scientists	Pittsburgh
Orange Juice	Falling And Laughing
Two Door Cinema Club	Undercover Martyn
Catie Curtis	My Shirt Looks Good On You
Raul Malo	You're Only Lonely
In This Moment	Beautiful Tragedy
Broken Social Scene	Fire Eye'd Boy
Dave Matthews & Tim Reynolds	Crash Into Me
Andy Williams	Butterfly
Luis Miguel	Cruz De Olvido
The Smiths	Meat Is Murder
Ellie Goulding	Your Biggest Mistake
Hey Champ	Cold Dust Girl
La Sera	Been Here Before
Eisley	Sad
Railroad Earth	Hard Livin'
Ben Kweller	Fight
Cat Power	Sea Of Love
Warbringer	Total War
Fruit Bats	Legs Of Bees
Sons And Daughters	Johnny Cash
The Fixx	Deeper And Deeper 
Devo	Beautiful World
Starfucker	Millions
Pink Floyd	Chapter 24
Panda Bear	Search For Delicious
Black Rebel Motorcycle Club	Ain't No Easy Way
Neil Young	Only Love Can Break Your Heart
ABC	Poison Arrow
TLC	Sleigh Ride
Alejandro Escovedo	Anchor
Peggy Lee	Happy Holiday
Bloodsimple	Falling Backwards
Toby Beau	My Angel Baby
Jon Secada	Feliz Navidad
Jeffrey Osborne	Don't You Get So Mad
James Brown	Christmas In Heaven
Ann & Nancy Wilson	Blue Christmas
Julianne Hough	Feliz Navidad
ZZ Top	Arrested For Driving While Blind
Fear Factory	Self Bias Resistor
James Brown	Soulful Christmas
Lady Gaga	The Fame
Inna	Amazing
Kaskade	Fire In Your New Shoes 
Michael McDonald	One Gift
Jeff Lorber	Reflections
Whitney Houston	Have Yourself A Merry Little Christmas
Kenny Rogers & Dolly Parton	Christmas Without You
Jose Luis Perales	El Amor
Def Leppard	Comin' Under Fire
Alicia Keys	That's How Strong My Love Is
Bruce Channel	Hey! Baby
Sara Bareilles & Ingrid Michaelson	Winter Song
Ledisi	Give Love On Christmas Day
Echoing Angels	God Bless Us
Al Jarreau	White Christmas
The Temptations	Christmas Everyday
The Supremes	My Christmas Tree
Bronco	Cinco Locos
Dethklok	Burn The Earth
Peter White	Silent Night 
Wayne Brady	Can't Buy Me Love
Luther Vandross	A Kiss For Christmas
Boyz II Men	What You Won't Do For Love
Luther Vandross	With A Christmas Heart
Wilson Phillips	Silent Night
LeAnn Rimes	All I Want For Christmas
Harry Connick, Jr.	The Happy Elf
Jackie Evancho	Silent Night
David Crowder Band	Our Love Is Loud
Point Of Grace	Joy To The World
Trans-Siberian Orchestra	This Christmas Day
Trans-Siberian Orchestra	Christmas Jam
Celine Dion	Don't Save It All For Christmas Day
John Denver & The Muppets	We Wish You A Merry Christmas
Vince Gill	Do You Hear What I Hear
Harry Connick, Jr.	Silent Night
Rachelle Ferrell	You Send Me
Ella Fitzgerald	Take Love Easy 
Don Henley	Taking You Home
Gloriana	Silent Night
Dean Martin	Silent Night
Jerry Lee Lewis	Another Place, Another Time
Elvis Presley	For The Heart
Johnny Cash	Blue Christmas
Johnny Cash	The Gifts They Gave
The Staple Singers	Respect Yourself
Dashboard Confessional	Vindicated
Carrie Underwood	Home Sweet Home
Hey Monday	How You Love Me Now
Janelle Monae	Cold War
The Ramones	53rd & 3rd
Asobi Seksu	Thursday
Mastodon	Crusher Destroyer
Symphony X	Serpent's Kiss
Geoff Bullock	The Power Of Your Love
Keb' Mo'	The Door
Lindsey Buckingham	Go Insane
The Temper Trap	Love Lost
Karen O And The Kids	All Is Love
The Go! Team	Rolling Blackouts
Kaiser Chiefs	Oh My God
Editors	No Sound But The Wind
Tony Bennett	Lullaby Of Broadway 
Sara Groves	Love Is Still A Worthy Cause
Animal Collective	Bleed
Underworld	Hamburg Hotel
Caribou	Found Out
Iggy & The Stooges	Gimme Danger
Rachelle Ferrell	Extensions
Cassandra Wilson	Black Orpheus
Gregg Allman	My Love is Your Love
JJ Grey & Mofro	Lullaby
Bettye Lavette	Joy
Cowboy Junkies	Flirted With You All My Life
Nitzer Ebb	Join In The Chant
Paris Hilton	Fightin' Over Me 
Killing Joke	The Death And Resurrection Show
Eskmo	Starships
Film School	Two Kinds
Jet	Black Hearts 
Rev Theory	Broken Bones
Cold	Suffocate
Nick Lowe	Without Love
Slayer	Evil Has No Boundaries
Emilio Navaira	No Es El Fin Del Mundo 
Queen	Play The Game
Cafe Tacuba	Las Persianas
Weekend	End Times
Exene Cervenka	Beyond You
The Autumn Defense	Step Easy
The Beatles	Free As A Bird
Irma Thomas	Same Old Blues
Jimi Hendrix	Who Knows
Cloud Nothings	Old Street
Vivian Girls	All The Time
The Avalanches	Flight Tonight
Melody Gardot	Love Me Like A River Does
Bruce Springsteen & The E Street Band	Fire 
Ruben Blades	El Padre Antonio Y El Monaguillo Andres
3 Inches Of Blood	Trial Of Champions
Forbidden	Forsaken at the Gates
Ingrid Michaelson	Everybody
Serena Ryder	Little Bit Of Red
Patty Griffin	You'll Remember
Bobby Darin	Blue Skies
Kirk Whalum	Inside 
Fear Factory	Replica
Dolly Parton	It's Sure Gonna Hurt 
Arch Enemy	I Will Live Again
The Clark Sisters	Jesus Is A Love Song
Black Dub	Canaan
Joan Armatrading	A Woman In Love
The Innocence Mission	Gentle The Rain At Home
John Scofield	Motherless Child
Javier Solis	Lloraremos Los Dos
Iron Maiden	The Evil That Men Do
Motley Crue	White Trash Circus
Aerosmith	Get A Grip
Aerosmith	Fever
The Allman Brothers Band	You Don't Love Me
Decyfer Down	Crash
Buffalo Springfield	Kind Woman
Paul McCartney	Freedom 
Robi Draco Rosa	Vagabundo
Zoe	Reptilectric
MDO	No Puedo Olvidarme De Ti 
The Peter Malick Group	All Your Love 
Braille	Counter Attack 
Echo & The Bunnymen	Shroud Of Turin
Dionne Warwick	This Girl's In Love With You
Gary Puckett & The Union Gap	This Girl Is A Woman Now
Cassandra Wilson	A Day In The Life Of A Fool
The Ronettes	Do I Love You
Danzig	Dirty Black Summer
She & Him	Home
K'Naan	Fire In Freetown
Dead Confederate	Run From The Gun
Love Is All	Bigger Bolder
The Raveonettes	Heart Of Stone
The Smiths	London
Jeru The Damaja	D. Original
Phyllis Hyman	Loving You, Losing You
Neko Case	Lady Pilot
Jonathan Richman	I Was The One She Came For
Erasure	Love To Hate You
Tab Benoit	Can't You See
Arthur Alexander	Soldier Of Love
Mika	Happy Ending
Leo Sayer	More Than I Can Say
Charles Brown	Trouble Blues
Poly Styrene	I Luv Ur Sneakers
Nirvana	Very Ape
Brett Dennen	Dancing At A Funeral
Kem	You Might Win
Motograter	Down
Los Horoscopos De Durango	Ahora Que No Estas
Twinkie Clark	Bless You Real Good
Anders Osborne	Killing Each Other
Steve Miller Band	Sweet Home Chicago
Chaka Khan	Will You Love Me?
Phyllis Hyman	I Don't Want To Lose You
Antony Santos	Hay De Mi, Hay De Ti
Beck	Earthquake Weather
Ty Segall	Sad Fuzz
The Beatles	Maggie Mae
The Beatles	Honey Don't
Frankie Goes To Hollywood	Two Tribes
Dierks Bentley	Pride 
Tricky	Murder Weapon
Nina Simone	To Love Somebody
Ray Charles	Christmas In My Heart
Morcheeba	Fear & Love
Lamb	Gabriel
Nouvelle Vague	This Is Not A Love Song
Peggy Lee	Santa Claus Is Coming To Town
Bing Crosby	God Rest Ye Merry Gentlemen
Bad Religion	Let Them Eat War
Chris Isaak	Have Yourself A Merry Little Christmas
Chris Isaak	Blue Christmas
Trans-Siberian Orchestra	The Silent Nutcracker 
John Williams	Merry Christmas, Merry Christmas
Ultimate	It's My Birthday
Sheryl Crow	Blue Christmas
Roy Orbison	Pretty Paper
Garth Brooks	Silent Night
Shedaisy	That's What I Want For Christmas
The Beach Boys	Merry Christmas, Baby
Johnny Gill	Give Love On Christmas Day
The O'Jays	Have Yourself A Merry Little Christmas
Girl In A Coma	Blue Christmas
The Dan Band	Christmakwanzakah
Led Zeppelin	Rock And Roll 
Melissa Etheridge	Christmas In America
Low	Just Like Christmas
Casting Crowns	What This World Needs
Nailbomb	Wasting Away
James Ingram	Everything Must Change
The Heavy	Set Me Free
Jill Scott	It's Love
Take 6	I Saw Three Ships
Celine Dion	Blue Christmas
Billy Idol	Christmas Love
Brian Wilson	Silent Night
High On Fire	Holy Flames Of The Fire Spitter
Mark Ronson	Oh My God 
Gotan Project	Peligro
The Bee Gees	To Love Somebody
The Beach Boys	The Warmth Of The Sun
The Young Rascals	I've Been Lonely Too Long
Jackie DeShannon	Put A Little Love In Your Heart
Johnny Mathis	Heavenly Peace
Dave Matthews & Tim Reynolds	Christmas Song
Melissa Etheridge	Blue Christmas
Willie Nelson	Blue Christmas
Kenny Chesney	The Angel At The Top Of My Tree
Michael Bolton	Have Yourself A Merry Little Christmas
Janiva Magness	I'm Feelin' Good
Martina McBride	Silent Night
Blood Red Shoes	One More Empty Chair
Azure Ray	Shouldn't Have Loved
Buffalo Tom	Taillights Fade
David Bowie	Fame
Queens Of The Stone Age	Sick, Sick, Sick
Ziggy Marley	Family Time
Conjunto Primavera	No Le Ruegues
Pink Floyd	Take Up Thy Stethoscope And Walk
All That Remains	Become The Catalyst
The Beatles	Goodnight
Five Finger Death Punch	Burn It Down
Nirvana	Negative Creep
Phobia	Sign Of Times
M.I.A.	Bucky Done Gun
Testament	Apocalyptic City 
Isobel Campbell & Mark Lanegan	Honey Child What Can I Do?
John Pizzarelli	This Can't Be Love
Deitrick Haddon	So Good To Be In Love
Will Downing	Home
The Sex Pistols	Liar
James Blake	I Mind
Beck	He's A Mighty Good Leader
Beck	I Get Lonesome
Sleepy Sun	Freedom Line
Fats Domino	I'm In Love Again
Toro Y Moi	Light Black
Robyn	Show Me Love
Banda Pequenos Musical	Obra Maestra
John Prine	Glory Of True Love
Matthew Dear	Soil to Seed
Tegan And Sara	I Hear Noises
Band Of Horses	Islands On The Coast
Unearth	Endless
The Doors	Horse Latitudes
Freda Payne	Deeper & Deeper
Iron Maiden	Fear Of The Dark
Ozomatli	Aqui No Sera
Kenna	Better Wise Up
George Strait	What Do You Say To That
30 Seconds To Mars	Search And Destroy
Muse	Take A Bow
David Bowie	I'm Afraid Of Americans
U2	The Refugee
Lucinda Williams	Real Love
Joe Jackson	The Uptown Train
Phillips, Craig & Dean	You Are My King 
Hillsong	Adonai
Rebecca St. James	Psalm 139
BeBe & CeCe Winans	I.O.U. Me
Victor Garcia	Mi Funeral
Neon Indian	Mind, Drips
The Thermals	Your Love Is So Strong
The Dandy Warhols	The Dope 
Diana Ross & The Supremes	In And Out Of Love
The Teddy Bears	To Know Him Is To Love Him
Lair Of The Minotaur	Evil Power
The Platters	On My Word Of Honor
Jimmy Ruffin	I've Passed This Way Before
Barry Manilow	I'll Never Smile Again 
The Platters	With This Ring
Grass Widow	Shadow
The Pretenders	Thumbelina
High On Fire	Bastard Samurai
The Dead Weather	No Horse
A Place To Bury Strangers	Everything Always Goes Wrong
Gorillaz	Bill Murray
Sherwood	Free
Skeletonwitch	Where The Light Has Failed
Thomas Dolby	Dissidents (The Search For Truth Part 1) (2009 Digital Remaster)
Neil Sedaka	Because Of You
Keb' Mo'	Dangerous Mood
Jimi Hendrix Experience	Fire
22-20s	Hold On
Wyclef Jean	Midnight Lovers
evanescence	my_immortal
Minnie Riperton	Completeness
Iggy Pop	Lust for life (recorded during the us tour in 1986)
The Beatles	All You Need Is Love
The Gathering	Locked Away
Zeromancer	The Death Of Romance
System of a Down	War?
Keb' Mo'	The Door
Usher	I'll Show You Love
Junior Kimbrough	Meet Me in the City
Bass  Fontella	Rescue Me
Black Flag	Police Story
Rancid	Black Lung (Album Version)
The Shirelles	Will You Love Me Tomorrow
The Beatles	In My Life
The Beatles	Golden Slumbers
Sick Puppies	Master Of The Universe
AFI	Summer Shudder
The Beatles	Good Night
The Beatles	Your Mother Should Know
Blind Willie Johnson	You'll Need Somebody On Your Bond
Teenage Fanclub	The Sun Shines From You
Turtles	Happy Together
Lord  Mary Lou	Lights Are Changing
cardigans	lovefool
Deborah Allen	I Will Always Love You
The Misfits	The Haunting
Sick Of It All	Consume (LP Version)
Atomic Rooster	Close Your Eyes
April Wine	Caught In The Crossfire
MÃ¥negarm	Ur SjÃ¤lslig DÃ¶d
Irma Thomas	Hold Me While I Cry
Doyle Bramhall	That's How Strong My Love Is
My Chemical Romance	You Know What They Do To Guys Like Us In Prison (Album Version)
Hank Locklin	Send Me The Pillow You Dream On
elvis_presley	heartbreak_hotel
Ensiferum	Into Battle
Patty Griffin	Moses
The Beatles	I Want You
The Beatles	Honey Don't
Sick Of It All	Death Or Jail
Suicidal Tendencies	Human Guinea Pig
John Berry	Ninety Miles An Hour
roy_orbison	running_scared
Sugarbomb	Posterchild for Tragedy
The Beatles	Octopus's Garden
The Beatles	For You Blue
Funeral For A Friend	All The Rage (Clean Album Version)
Tommy Castro	Sho' Enough
Ross  Diana & the Supremes	Baby Love
P.O.D.	Wildfire (Album Version)
Wire	I Am the Fly
Knack	Everything I Do
Temple Of The Dog	Hunger Strike
Queens Of The Stone Age	Everybody's Gonna Be Happy
The Beatles	Love Me Do
The Beatles	Yer Blues
The Beatles	Wild Honey Pie
Richard Hell & the Voidoids	Love Comes in Spurts
mamas_and_the_papas	words_of_love
Melvins	Gluey Porch Treatments
Rancid	The Bravest Kids (Acoustic)
Boyz II Men	In My Life
Rolling Stones	Gimme Shelter
Alice Cooper	Be My Lover
Franz Ferdinand	Do You Want To
Bad Religion	Flat Earth Society (Album Version)
The Rascals	I'm So Happy Now (Single Version)
Fun Lovin' Criminals	We Have All The Time In The World (Live)
chantal_kreviazuk	surrounded
unloco	Bystander (Album Version)
The Beatles	Can't Buy Me Love
Reach 454	6 Yrs (Album Version )
Aiden	Killing Machine
Kris Kristofferson	Killer Barracuda
Randy Stonehill	Angry Young Men (LP Version)
Crests  The	Sixteen Candles
George Jones	Together Alone
Nick Cave & The Bad Seeds	Christina The Astonishing (2010 Digital Remaster)
Happy Mondays	Grandbag's Funeral
Adam Ant	Something Girls
New Edition [US]	Candy Girl
The Beatles	The End
Curtis Mayfield	People Never Give Up
replacements	answering_machine
3 of Hearts	Is It Love
The Suicide Machines	Burning In The Aftermath
Shelby Lynne	Pretend
Muse	Supermassive Black Hole (Album Version)
Minogue  Kylie	I Should Be So Lucky
Sade	Morning Bird
Aerosmith	Janie's Got A Gun
Motley Crue	Get It For Free
Whitesnake	Love Ain't No Stranger (2003 Digital Remaster)
LORE	Release
Bob Marley & The Wailers	Rainbow Country (Red Gold And Green Version)
Agnes	I Need You Now
Silverchair	The Door
Kane	My Heart's Desire
L.A. Guns	Some Lie For Love
Deftones	No Ordinary Love (Remastered LP Version)
air	sexy_boy
jackson_5	abc
Metallica	Metal Militia
The Rapture	Killing
Roger Clyne & The Peacemakers	Mile High and Risin'
Fontella Bass	Rescue Me
Simply Red	Thrill Me
Muse	Stockholm Syndrome
Natasha Bedingfield	These Words
Wings	Silly Love Songs
The Clash	I'm So Bored With The U.S.A.
Hatebreed	Destroy Everything (Album Version)
Rainbow	Still I'm Sad
Placebo	The Never-Ending Why
Juliette & The Licks	Shelter Your Needs
Akon	Lonely
Beach Boys	God Only Knows
James  Elmore	Sky Is Crying
Information Society	Make It Funky (Album Version)
U2	October
alicia_keys	fallin
Simon & Garfunkel	Patterns
The Beatles	Her Majesty
Santana	Rock Me
Jeff Scott Soto	2 Late 4 Goodbyes
Altered Images	Happy Birthday
Andrew W.K.	Long Live The Party
DeGarmo & Key	Out Of The Danger Zone (Degarmo And Key Album Version)
John Stewart	Price Of The Fire
Lifer	Breathless
Walter Hawkins	Never Alone
Clooney  Rosemary	Come On-A My House
Public Image Ltd	The Suit
yeah_yeah_yeahs	maps
Jars Of Clay	Love Me
Midge Ure	Four
Foghat	Dead End Street
Evergreen Terrace	Look Up At The Stars And You're Gone
Amorphis	Privilege of Evil (From the Privilege of Evil EP)
The Cardigans	Paralyzed
Pee Wee King	Slow Poke
Case  Neko & Her Boyfriends	Bowling Green
Silverchair	Cicada
Foo Fighters	If Ever
MxPx	Drum Machine Joy
Uman	The way to Peace
The Beatles	I'm Happy Just To Dance With You
Bob Marley	Small Axe
Malefaction	Abused And Unloved
Deftones	Lotion (LP Version)
Trashmen	Surfin' Bird
Channel  Bruce	Hey! Baby
Skeletonwitch	Within My Blood
Radiohead	You (Demo)
P.O.D.	Eyes Of A Stranger (Album Version)
Thrice	The Earth Isn't Humming
Twila Paris	Perfect Peace
Donny Hathaway	I Love You More Than You'll Ever Know (LP Version)
green_day	longview
Rihanna	Good Girl Gone Bad
Dionne Warwick	I've Been Loving You Too Long (LP Version)
Royal Trux	I'm Ready
Inspiral Carpets	Party In The Sky
Dead Boys	Sonic Reducer
McCartney  Paul/Wings	Silly Love Songs
The Beatles	Happiness is a Warm Gun
cat_power	he_war
Buzzcocks	Ever Fallen in Love?
Bad Company [1]	Can't Get Enough
New York Dolls	Trash (live Paris)
jefferson_airplane	somebody_to_love
Harry Connick_ Jr.	Once
Bad Company [1]	Feel Like Makin' Love
The Beatles	Maxwell's Silver Hammer
Fun Lovin' Criminals	We Have All The Time In The World
Skrape	Searching For Home
throwing_muses	hate_my_way
Small Faces	Itchycoo Park
Hot Tuna	Candy Man
eels	cancer_for_the_cure
Mink DeVille	Heaven Stood Still
Owens  Buck	Sally Was a Good Old Girl
Blind Willie Johnson	God Don't Never Change
Dean Martin	Until You Love Someone
The Beatles	And I Love Her
Hot Tuna	Death Don't Have No Mercy
Pop  Iggy	Lust for Life
Asleep At The Wheel	Let Me Go Home Whiskey
The Beatles	Maggie Mae
The Killers	A White Demon Love Song (Soundtrack Album Version)
Panic At The Disco	Northern Downpour (Album Version)
Bad Religion	The Lie
Phantom Planet	Here I Am
The Beatles	I Should Have Known Better
SNAP!	The World In My Hands (We Are One)
The Police	So Lonely
Atreyu	Ex's And Oh's (Instrumental Version)
Steel Pulse	We Can Do It
Kathy Troccoli	Never My Love
Descendents	Cheer
The Gathering	Locked Away
Nilsson  Harry	1941
Chris Brown	I Love U
Devo	Be Stiff (Live)
Alice In Chains	Take Her Out
Sex Pistols	Seventeen
Cline  Patsy	I Fall to Pieces
Bare  Bobby	500 Miles Away from Home
GWAR	Slap U Around
The Beatles	Birthday
devo	girl_u_want
franz_ferdinand	come_on_home
Danny Wilson	The Second Summer Of Love
Nana Mouskouri	Only You
Foals	Red Socks Pugie
Buzzcocks	Everybody's Happy Nowadays
Spooky Tooth	Evil Woman
abc	poison_arrow
The Beatles	Here Comes The Sun
Juelz Santana	There It Go (The Whistle Song)
Public Image Ltd	This Is Not A Love Song
Robben Ford	Something For The Pain
Motley Crue	Afraid
Nirvana	Polly
The Beatles	Two Of Us
Ziggy Marley And The Melody Makers	New Love
Berlin	Now It's My Turn (Aqualite Mix)
George Jones	I Don't Love You Anymore
Rundgren  Todd	Can We Still Be Friends?
Aaron Watson	Whiskey on the Fire
Isley Brothers	Fight the Power  Pt. 1
robert_johnson	sweet_home_chicago
Donnie McClurkin	Psalm 27
Dimmu Borgir	The Fundamental Alienation
Rihanna	Good Girl Gone Bad
Lewis  Jerry Lee	Another Place  Another Time
Akon	Don't Matter
DeGarmo & Key	Destined To Win
Gibson  Debbie	Shake Your Love
KT Tunstall	Paper Aeroplane (Live From 'Drastic Fantastic' Tour)
PJ Harvey	This Mess We're In
Johnny Cash	Were You There (When They Crucified My Lord)
Bryan Ferry	This Love
Michael Jackson	Happy
Marvin Gaye	Joy
Killswitch Engage	Unbroken
The Everly Brothers	So Lonely
Clannad	Now Is Here
Eastmountainsouth	Mark's Song
Tom Jones	Without Love (There Is Nothing)
Marianne Faithfull	Sad Lisa
Pink Floyd	Chapter 24
Johnny Cash	Were You There (When They Crucified My Lord)
Pink Floyd	Take Up Thy Stethoscope and Walk
The Everly Brothers	Lonely Street
John Lennon	Happy Xmas (War Is Over)
Joe Jackson	Lullaby
Megadeth	The Killing Road
Willie Nelson	What a Wonderful World
Black Sabbath	Sick and Tired
Stevie Wonder	Outside My Window
Stevie Wonder	Come Back as a Flower
John Lennon	Happy Xmas (War Is Over)
Bee Gees	Night Fever
Neil Diamond	Dear Father
Metallica	Last Caress/Green Hell
Reba McEntire	Can't Even Get the Blues No More
Neil Young	California Sunset
Megadeth	FFF
Eddie Money	Think I'm in Love
Kelis	Caught Out There
Bobby McFerrin	Drive My Car
Slayer	War Zone
Slayer	Here Comes the Pain
Al Green	You Are So Beautiful
